a_lyric;a_music;lyric;title
Eladia Blázquez;Eladia Blázquez;"Aunque me dé la espalda de cemento, me mire transcurrir indiferente, es ésta mi ciudad, ésta es mi gente... y es el lugar donde a morir, me siento. ¡Buenos Aires!... Para el alma mía no habrá geografía mejor que el paisaje... ...de tus calles, donde día a día me gasto los miedos, las suelas y el traje... No podría... vivir con orgullo, mirando otro cielo que no fuera el tuyo, porque aquí me duele un tango y el calor de alguna mano ¡y me cuesta tanto el mango que me gano!... Porque soy como vos, que se niega o se da; ¡te proclamo, Buenos Aires, mi ciudad! Aunque me des la espalda de cemento, me mires transcurrir indiferente; ¡te quiero!.... Buenos Aires, y a tu gente,, y entre tu gente, sin querer, te encuentro, me encuentro... Porque soy como vos, que se niega o se da; ¡te proclamo, Buenos Aires, mi ciudad! ";Mi ciudad y mi gente
" José Servidio / Luis 
Servidio Letra: Celedonio Flores";"José Servidio / Luis 
Servidio Letra: Celedonio Flores";Mi cuartito feliz y coqueto que en la calle Ayacucho alquilaba, mi cuartito feliz que albergaba un romance sincero de amor. Mi cuartito feliz donde siempre una mano cordial se tendía y una linda carita ponía con bondad su sonrisa mejor... Cada cosa era un pasaje que en el cuartito ponía la bulliciosa alegría de quien se sabe feliz... En el amor de sus besos y en el calor de sus brazos yo fui dejando a pedazos lo mejor de mi vivir. Mi cuartito coqueto lucía su moblaje cuidado y sencillo sin alfombras, sin lujo, sin brillo, donde días felices pasé. Al calor del querer de quien era en su amor terrenal, toda mía, y una tarde de invierno, muy fría, en un vuelo hasta el cielo se fue... ;Mi cuartito (El bulín de la calle Ayacucho)
Manuel Meaños;Carlos Marcucci;Vuelvo de tierras muy lejanas donde ayer fuera a buscar olvido a mi dolor, consuelo al alma que sufrió, al creer en los engaños y promesas del amor. Rumbo al olvido, que es un bálsamo al sufrir, partí llevando en mi amargura el cruel recuerdo de la ventura que en otros tiempos junto a ti creí vivir. Fui esclavo de tu corazón y a tus caprichos yo cedí y me pagaste con traición. Hoy, curada mi alma de su herida, pienso que nunca he de volver a mendigar tu querer. Porque allá donde fui mis pesares a olvidar del amor conocí las delicias hasta embriagar. Mi dolor llegó a curar. Mi pasión sólo dio los sentidos para amar, pero mi alma dejó su pureza conservar y así pronto llegó sus tristezas a olvidar. Pero hoy te he visto junto a mi lado pasar. Mi corazón tan rápido latió que aquella herida que creí curar ante tu vista de improviso se entreabrió, pues no bastaron para calmar mi dolor ni las caricias ni el olvido. De nuevo sufro por ser querido y hoy, como entonces, soy esclavo de tu amor. ;Mi dolor
Pascual Contursi;Samuel Castriota;"Percanta que me amuraste en lo mejor de mi vida, dejándome el alma herida y espina en el corazón, sabiendo que te quería, que vos eras mi alegría y mi sueño abrasador, para mí ya no hay consuelo y por eso me encurdelo pa'olvidarme de tu amor. Cuando voy a mi cotorro y lo veo desarreglado, todo triste, abandonado, me dan ganas de llorar; me detengo largo rato campaneando tu retrato pa poderme consolar. Ya no hay en el bulín aquellos lindos frasquitos , arreglados con moñitos todos del mismo color. El espejo está empañado y parece que ha llorado por la ausencia de tu amor. De noche, cuando rne acuesto no puedo cerrar la puerta, porque dejándola abierta me hago ilusión que volvés. Siempre llevo bizcochitos pa tomar con matecitos como si estuvieras vos, y si vieras la catrera cómo se pone cabrera cuando no nos ve a los dos. La guitarra, en el ropero todavía está colgada: nadie en ella canta nada ni hace sus cuerdas vibrar. Y la lámpara del cuarto también tu ausencia ha sentido porque su luz no ha querido mi noche triste alumbrar. ";Mi noche triste (Lita)
Roberto Fontaina y Victor Soliño. (1928) ;David Estevez Martin.;"Mirá, Jose, no seas otario. No andés con vueltas y fajala, que a la mujer que sale mala pa' hacerla andar derecha la biaba es lo mejor. En cuanto le des cuatro gritos y la trates de prepotencia, palpitará la contundencia y te dirá loca de amor: ""Yo quisiera que me casques pa'quererte, mi papito, mi papito; yo quisiera que me dejes de ambulancia, mi papito, por favor. Yo me meto cuando encuentro a un hombre fuerte; si me casca me enloquece, pero en cambio no les doy beligerancia a esos tipos que hablan de amor."" Yo, como vos, no me animaba, pero la vida nos enseña que la mujer es dura peña que con palabras dulces no se puede partir. Yo no queria hacerme el malo y ella penso que yo era un caso, pero le di el primer tortazo y con amor me dijo así: ""Yo quisiera que me casques pa'quererte, mi papito, mi papito..."" ";Mi papito
José María Contursi;Aníbal Troilo;Me torturé sin ti y entonces te busqué por los caminos del recuerdo y en el recodo más lejano te agitabas por volver y por librarte de ese infierno... Y se arrastró hasta mí tu vida sin amor con su dolor y su silencio y disfrazamos un pasado que luchaba por querer volver. Y fuiste tú la que alegró mi soledad, quien transformó en locura mi pasión y mi ternura y en horror mis horas mansas. Tú... Mi tango triste fuiste tú y nadie existe más que tú en mi destino... Y hoy te has hecho a un lado en mi camino... Y es muy tarde ya para volver llorando atrás y contener la angustia que por mustia duele mucho más. Se desgarró la luz y enmudeció mi voz aquella noche sin palabras al ver que tu alma estaba ausente y a tu lado siempre yo como una cosa abandonada... Y se arrastró hasta mí la sombra de otro amor y de otra voz que te llamaba y me sumiste en un pasado que luchaba por querer volver. ;Mi tango triste (Tango triste)
Humberto Correa;Humberto Correa;Vieja viola, garufera y vibradora de las horas de parranda y copetín, de las tantas serenatas a la lora que hoy es dueña de mi cuore y patrona del bulín, ¡cómo estás de abandonada y silenciosa, después que fuiste mi sueño de cantor! Quien te ha oído sonar papa y melodiosa no dice que sos la diosa de mi pobre corazón. Es que la gola se va y la fama es puro cuento y andando mal y sin vento todo, todo se acabó... Hoy sólo queda el recuerdo de pasadas alegrías, pero estás vos, viola mía, hasta que me vaya yo. Cuántas noches bajo el brazo de la zurda por cubrirte del sereno te llevé y por más que me encontrase bien en curda, conservándome en la línea, de otros curdas te cuidé. Si los años de la vida me componen y la suerte me rempuja a encarrilar, yo te juro que te cambio los bordones me rechiflo del escabio y te vuelvo a hacer sonar. ;Mi vieja viola
H.Quintana;J.Gutierres Martin;"Tiene fama de compadre, de aquellos de no aflojar, bailarín de meta y ponga y guapo a carta cabal. De aguantarse una gayola de frente y sin protestar, de frente y sin protestar. Mi viejo es amigo mío, qué me importa lo demás. Dícen que anduvo los patios de aquellos años atrás acariciando baldosas lo mismo que ""el Cachafaz"", y que estuvo muchas veces en enredos de percal, en enredos de percal. Mi viejo es amigo mío, qué me importa lo demás. Dícen que hubo una grela que al fin lo pudo enganchar, y le sacó las agallas con cariño y con bondad; embalurdao por la mina el compadre entró a aflojar, el compadre entró a aflojar. Esa mina fué mi vieja, qué me importa lo demás. ";Mi viejo es amigo mío
Enrique Maroni;Adolfo Rafael Avilés;Micifuz triste gato de albañal ¿por qué te das tanto corte si yo conozco el resorte que tu vida hace mover? Misch engrupido por las montas de tu fama milonguera y porque en una carrera te apuntás con cien y cien. ¡Uñas lustradas, fomentos, bataclanas y Florida loas cosas que hay en la vida que uno tiene que ver! Un hijo de Farabutti, el changador de la esquina, dopado con cocaína ¡pero si es para no creer! Y en otros tiempos, amigo, patinaba en la miseria con los bultos de la feria por un poco de bullón, hoy, ya corre en otra pista, el muchacho tiene hermana y una persona bacana que las va de protector. Micifuz por qué tallás si no hay puntos pobre gato de azotea, recordá tu vida rea y achicate en la intención. ¡Misch todavía anda tu viejo, pantalón y blusa azules, campaneando en los baúles allá por Constitución! ;Micifuz
Luis Rubistein;Luis Rubistein;Dios sabe que mi vida estaba trunca y no he soñado nunca tanta bonanza. Angustia de vivir estando muerto, acechando en cielo incierto una esperanza... Y cuando ya estaba resignado a mi mal vino tu sonrisa como un sol primaveral... Desde entonces mi alma, alzando vuelo, se llegó cantando al cielo con su trino más triunfal. Milagro, milagro de cerrar mi herida con besos que son canciones de mi vida... Fuerza milagrosa de tus ojos, canto en la penumbra de mi alma... Milagro, milagro de tus labios rojos, milagro que me trajiste con tu amor... Dios sabe que viví mordiendo angustias y que mi alma, vieja y mustia, se desangraba... Entonces, como luz en el abismo, alumbraste el pesimismo que me nublaba... Ya no tengo penas por milagro de Dios y mi vida canta porque en mi alma está tu voz. Vivo con tus besos, tu regazo, y me duermo entre tus brazos al milagro de tu amor... ;Milagro
Homero Manzi (milonga);Sebastián Piana;Milonga de cien reyertas templada como el valor. Grito de pampa desierta diciendo su alerta con voz de cantor. Milonga de quita penas. Nostalgia de población. Canto qu'en noche serena su rezo despena detrás del fogón. Diana de viejas victorias en la punta del tropel, con tu vanguardia de gloria serás en la historia canción y laurel. Son de querencia querida en las noches del cuartel. Pena de china querida que al fin afligida dejó de ser fiel. Resuenan con tus acentos, milonga del batallón, gritos de viejos sargentos cargando en el viento con el escuadrón. Y vuelven en los sonidos agudos del cornetín, ecos de mil alaridos que estaban perdidos detrás del confín. Gime el desierto rodando sus rumores de huracán... Vienen las lanzas cargando y están aguaitando la Cruz y el Puñal. Gloria de aquel comandante que jamás volvió al cantón. Besan su barba cervuna la luz de la luna y el fuego del sol. ;Milonga de los fortines 
José María Contursi (milonga);Pedro Laurenz;Oigo tu voz engarzada en los acordes de una Iírica guitarra... Sos milonga de otros tiempos... Yo te vi crecer prendida en las polleras de un bailongo guapo y rompedor como jamás ha de volver. Nadie, tal vez, comprendió mejor las penas y el sentir de mi barriada... Sin embargo te olvidaron y en el callejón tan sólo una guitarra te recuerda, criolla como vos, y en su gemir tiembla mi ser. Vuelvo cansado de todo y en mi corazón lloran los años... Mi vida busca tan sólo la tranquilidad del viejo barrio... Y encuentro todo cambiado menos tu canción, milonga mía... El progreso ha destrozado toda la emoción de mi arrabal. Quiero olvidar y tus notas van llenando de tristeza el alma mía... He cruzado tantas veces ese callejón, llevando entre los labios un silbido alegre y tu cantar emborrachando el corazón. Era feliz entregado a las caricias de la única sincera que acunó una primavera que no floreció... Milonga, ya no puedo continuar... El llanto me venció... Quiero olvidar... y pienso más. ;Milonga de mis amores 
Homero Manzi (milonga);Sebastián Piana;"Me gusta lo desparejo y no voy por la ""vedera"". Uso funghi a lo ""Massera"", calzo bota militar. La quise porque la quise y por eso ando penando, se me fue ya ni sé cuándo, ni se cuándo volverá. Me la nombran las guitarras cuando dicen su canción. Las callecitas del barrio y el filo de mi facón. Me la nombran las estrellas y el viento del arrabal. No sé pa' qué me la nombran si no la puedo olvidar. Soy desconfiao en amores, y soy confiao en el juego. Donde me invitan me quedo y donde sobro también. Soy del partido de todos y con todos me la entiendo, pero váyanlo sabiendo ¡soy hombre de Leandro Alem! No me gusta el empedrao ni me doy con lo moderno. Descanso cuando ando enfermo y después que me he sanao. La quiero porque la quiero y por eso la perdono. No hay nada peor que un encono para vivir amargao. ";Milonga del novecientos 
Horacio Ferrer (milonga);Astor Piazzolla;"Soy de una tierra hermosa de América del Sur, en mezcla gaucha de indio con español. De piel y voz morochas vi en mi guitarra que al mundo van las coplas, y me fui yo. Con un rumor de nido volaban tras de mí, aquellos pañuelitos en la estación. Pero soy peregrino y a mi nostalgia le canto así en la oreja del corazón: Vamos a la distancia, sí, que soy el trovador, si la distancia llama, yo jamás veré ponerse el sol. Vamos a la distancia, ya, y si no llego, amor, vos le darás mi alma de argentino y de cantor. Mi casa es donde canto porque aprendí a escuchar la voz de Dios que afina en cualquier lugar, ecos que hay en las plazas y en las cocinas, al borde de una cuna y atrás del mar. Si en esta andanza un día me espera la vejez, ya mi niñez le hará la segunda voz; y al fin con dos gargantas, a mi agonía, le cantaré en la oreja del corazón: Vamos a la distancia, sí, que soy el trovador, si la distancia llama yo jamás veré ponerse el sol. Vamos a la distancia, ya, y si no llego, amor, vos le darás mi alma de argentino y de cantor. ";Milonga del trovador 
Horacio Sanguinetti (milonga);Carlos Viván;Me hubiera gustado verte Carlitos Gardel añoso, Carlitos Gardel añoso, con el cabello canoso pero tenerte, tenerte. Me hubiera gustado verte y hablarte como a Razzano, por esa calle Corrientes, Corrientes y Talcahuano. Me hubiera gustado verte y oír un tango en tu voz, y oír un tango en tu voz, y también tener la suerte de que me digas adiós. Me hubiera gustado verte con tu canción hecha piel para quererte, quererte, hermano Carlos Gardel. Me hubiera gustado verte junto a tu vieja querida, junto a tu vieja querida, que sola dejó la vida que sola se fue a la muerte. Me hubiera gustado verte Carlitos Gardel añoso, con el cabello canoso pero tenerte, tenerte. ;Milonga para Gardel 
